AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
OO,5482,N934SW,SBA,DEN,,916,0
OO,6457,N560SW,SMX,LAX,,134,1
HA,218,N485HA,HNL,KOA,27,163,0
B6,515,N337JB,BOS,BUF,78,395,0
UA,228,N439UA,PDX,EWR,263,2434,0
US,641,N650AW,IND,PHX,234,1488,0
UA,495,N548UA,LAX,DEN,118,862,0
UA,507,N808UA,CLE,IAH,170,1091,0
UA,1553,N37290,BOS,EWR,46,200,0
US,403,N660AW,DEN,PHX,91,602,0
US,446,N651AW,MCI,PHX,159,1044,0
AA,1178,N573AA,AUS,DFW,36,190,0
AA,2410,N3BAAA,LAX,DFW,150,1235,0
DL,2453,N966DL,GSP,ATL,28,153,0
B6,2228,N231JB,MCO,EWR,127,937,0
EV,4555,N13133,MCI,IAH,110,643,0
EV,5698,N835AS,BDL,IAD,58,326,0
MQ,3534,N925MQ,ABI,DFW,,158,1
EV,4339,N14179,RIC,IAH,195,1157,0
OO,6204,,BFL,DEN,125,845,0
OO,6261,,SAT,SFO,198,1482,0
OO,5160,,OMA,IAH,120,781,0
OO,6224,,RDM,DEN,130,898,0
B6,860,,FLL,BDL,162,1173,0
EV,5230,,CID,ATL,84,694,0
WN,526,,SFO,DEN,132,967,0
UA,1222,,MCO,LAX,310,2218,0
UA,1507,,TPA,EWR,131,997,0
AA,1094,,SEA,DFW,216,1660,0
AA,1233,N3HXAA,BOS,DFW,243,1562,0
B6,115,N284JB,SYR,JFK,43,209,0
B6,185,N334JB,ROC,JFK,48,264,0
EV,2519,N905EV,TYR,DFW,25,102,0
EV,,N11140,MCI,ORD,58,403,0
EV,,N16561,LAN,ORD,39,179,0
EV,,N27200,BUF,EWR,48,282,0
MQ,,N5PBMQ,XNA,DFW,,280,1
EV,,N12563,GSO,EWR,65,445,0
NK,,N607NK,ORD,LGA,92,733,0
UA,,N76529,LAX,IAH,160,1379,0
AA,,N3FKAA,EWR,MIA,149,1085,0
OO,,N910SW,ONT,DEN,123,819,0
UA,,N830UA,MSP,DEN,100,680,0
