AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
AA,2272,N514AA,SAT,DFW,40,247,0
AS,124,N593AS,FAI,SEA,188,1533,0
B6,70,N228JB,FLL,BOS,169,1237,0
B6,966,N580JB,RSW,BOS,163,1249,0
DL,891,N924DN,MIA,ATL,84,594,0
DL,2234,N970DL,BWI,MSP,149,936,0
DL,2480,N979AT,MDT,ATL,97,620,0
B6,2180,N368JB,EWR,BOS,40,200,0
EV,5221,N921EV,SCE,DTW,60,301,0
F9,308,N935FR,GEG,DEN,108,836,0
MQ,3609,N836MQ,LEX,DFW,,785,1
MQ,3634,N606MQ,VPS,DFW,,641,1
NK,969,N516NK,BWI,ORD,116,622,0
OO,6557,N889AS,SBA,PHX,68,455,0
OO,6564,N896SK,SBP,PHX,73,509,0
EV,4418,N14153,PNS,IAH,89,489,0
OO,6230,N727SK,COS,DEN,22,73,0
EV,3272,N23139,CLE,ORD,60,315,0
HA,104,N477HA,LIH,HNL,18,102,0
OO,7396,N675BR,TWF,SLC,30,175,0
DL,1592,N723TW,SAN,ATL,202,1892,0
UA,195,N69818,BDL,ORD,137,783,0
US,649,N912UY,LAX,PHX,53,370,0
US,674,N831AW,EWR,PHX,339,2133,0
US,835,N293AY,PHL,CLT,81,449,0
UA,572,N404UA,AUS,IAH,30,140,0
UA,577,N458UA,SFO,EWR,286,2565,0
OO,5628,N507CA,RNO,SFO,41,192,0
WN,4570,N8611F,SEA,MDW,212,1733,0
WN,660,N275WN,SJU,TPA,173,1237,0
UA,1231,N17229,HNL,LAX,289,2556,0
US,401,N732US,CLT,PHL,68,449,0
US,433,N601AW,JFK,PHX,334,2153,0
US,567,N524UW,SAN,PHX,48,304,0
US,595,N519UW,ONT,PHX,48,325,0
AA,148,N3EJAA,MIA,CLT,96,650,0
AA,330,N3EWAA,PBI,ORD,171,1144,0
AA,1381,N492AA,EWR,DFW,232,1372,0
AS,157,N762AS,ANC,OTZ,78,548,0
AS,499,N551AS,SAN,SEA,145,1050,0
AS,573,N467AS,SAN,PDX,136,933,0
B6,23,N937JB,JFK,LAX,358,2475,0
B6,1099,N508JB,LGA,MCO,136,950,0
B6,929,N526JB,JFK,RSW,162,1074,0
B6,1285,N184JB,BOS,PIT,87,496,0
DL,418,N706TW,SFO,JFK,284,2586,0
DL,783,N962DN,MSP,ATL,112,907,0
DL,1984,N946DN,AUS,ATL,93,813,0
DL,2114,N397DA,COS,ATL,131,1184,0
DL,2283,N695DL,DTW,ATL,88,594,0
DL,2370,N339NB,MSY,LGA,137,1183,0
DL,1598,N669DN,SEA,ATL,245,2182,0
DL,1809,N970AT,EWR,ATL,114,746,0
DL,1872,N6705Y,TPA,ATL,61,406,0
EV,2549,N909EV,BPT,DFW,46,270,0
EV,3261,N13123,RIC,IAD,28,100,0
EV,3929,N13118,EWR,JAX,,820,0
EV,4306,N13970,GPT,,,376,0
F9,295,N202FR,TPA,,,1506,0
F9,711,N203FR,RSW,,,1607,0
F9,1246,N912FR,DEN,,,641,0
F9,1108,N947FR,CLE,,,895,0
MQ,2913,N600MQ,GPT,,,500,1
MQ,3649,N935MQ,MGM,,,622,1
OO,2604,N693BR,SAN,,25,109,0
NK,379,N503NK,ACY,,73,466,0
OO,5381,N937SW,STC,ORD,52,394,0
OO,4553,N820SK,BOI,LAX,90,674,0
OO,5186,N471CA,SFO,SAN,64,447,0
OO,5581,N755SK,MSP,LAX,217,1535,0
OO,6588,N885AS,BFL,PHX,71,425,0
UA,1534,N75432,TPA,ORD,144,1012,0
EV,5764,N832AS,ORD,IAD,77,589,0
HA,114,N493HA,HNL,OGG,20,100,0
B6,675,N294JB,JFK,MSY,194,1182,0
OO,5297,N908SW,MKE,ORD,21,67,0
UA,410,N403UA,MIA,ORD,174,1197,0
US,700,N675AW,SEA,PHL,263,2378,0
WN,1926,N7745A,SAT,ATL,103,874,0
WN,1119,N965WN,PDX,MDW,218,1751,0
US,474,N604AW,LAS,PHX,46,255,0
AA,129,N4WPAA,JAX,DFW,141,918,0
AA,1349,N4XJAA,MSY,DFW,,447,1
AA,1543,N486AA,PIT,DFW,162,1067,0
AA,2220,N586AA,COS,DFW,88,592,0
AS,240,N569AS,SEA,SAN,133,1050,0
AS,576,N323AS,PDX,SAN,117,933,0
AS,724,N612AS,SEA,SLC,93,689,0
B6,475,N599JB,PVD,MCO,155,1072,0
B6,1467,N216JB,HPN,PBI,146,1056,0
AA,1441,N3GYAA,JFK,LAS,342,2248,0
DL,2005,N990DL,MLB,ATL,65,442,0
DL,2290,N963DN,PIT,ATL,74,526,0
DL,1864,N360NW,SAN,MSP,190,1532,0
EV,5579,N136EV,ABE,ATL,110,692,0
MQ,3443,N635MQ,SPI,DFW,,630,1
OO,4758,N440SW,PLN,DTW,41,243,0
OO,3460,N219AG,PDX,ONT,105,838,0
UA,665,N401UA,RSW,EWR,144,1068,0
DL,1056,N922DX,SJC,MSP,214,1576,0
OO,4577,N455SW,CIU,DTW,45,284,0
US,1718,N939UW,MCO,CLT,71,468,0
US,1943,N508AY,BWI,CLT,67,361,0
US,1946,N915US,EWR,CLT,88,529,0
WN,795,N968WN,AUS,ATL,96,813,0
WN,692,N221WN,CAK,MCO,122,861,0
WN,1170,N902WN,FLL,LAS,303,2173,0
WN,653,N934WN,MKE,LAS,221,1524,0
WN,890,N717SA,PHX,MDW,160,1444,0
WN,832,N8616C,SJC,LAS,63,386,0
UA,1284,N11206,LAS,EWR,234,2227,0
UA,1748,N16703,,EWR,82,719,0
AA,1305,N456AA,,DFW,105,624,0
AA,1285,N576AA,,DFW,,224,1
AA,1562,,,DFW,188,1158,0
AS,548,,,SEA,26,93,0
AS,558,,,LAX,110,834,0
AS,560,,,PSP,124,987,0
AS,569,N471AS,,PDX,124,834,0
AS,662,N302AS,,DFW,211,1660,0
AS,709,N769AS,SLC,SJC,75,584,0
AA,2476,N3LEAA,BDL,MIA,164,1194,0
DL,1332,N540US,RSW,ATL,81,515,0
DL,2135,N990AT,TPA,LGA,128,1010,0
DL,2276,N909DE,MCO,LGA,125,950,0
DL,2566,N913DN,SFO,MSP,206,1589,0
EV,2506,N904EV,CRP,DFW,52,354,0
EV,2555,N830AS,SHV,DFW,42,190,0
EV,2561,N877AS,BTR,DFW,64,383,0
EV,2537,N902EV,MLU,DFW,52,293,0
MQ,2775,N613MQ,PIA,DFW,,672,1
MQ,2966,N855MQ,ROW,DFW,,435,1
MQ,3359,N905MQ,FWA,DFW,,859,1
MQ,3476,N653MQ,CHS,MIA,74,489,0
MQ,3589,N692MQ,GSO,MIA,99,710,0
NK,705,N588NK,LGA,FLL,147,1076,0
NK,567,N504NK,DTW,ATL,85,594,0
NK,417,N587NK,DTW,FLL,150,1127,0
OO,3456,N217AG,PDX,BUR,104,817,0
OO,5492,N703SK,MSN,ORD,28,108,0
OO,6495,N932EV,COS,LAX,115,833,0
OO,5291,N564SW,GCC,DEN,66,313,0
UA,536,N852UA,LAX,IAH,164,1379,0
UA,259,N427UA,SNA,IAH,156,1346,0
UA,792,N802UA,BUF,ORD,85,473,0
VX,922,N361VA,SFO,LAX,54,337,0
WN,3213,N8612K,DAL,MDW,95,793,0
WN,2599,N912WN,LIT,DAL,56,296,0
WN,2199,N400WN,MHT,MCO,171,1142,0
WN,3739,N780SW,ALB,MCO,153,1073,0
WN,1188,N783SW,SAT,BWI,153,1407,0
WN,4563,N642WN,OKC,ATL,,761,0
US,593,N163US,SNA,PHX,,338,0
AA,323,N520AA,DFW,STL,,550,1
AA,1107,N3ADAA,LGA,DFW,,1389,0
AA,1234,N3MCAA,LAS,ORD,,1514,0
AA,1283,N3CRAA,BNA,MIA,,806,0
AA,1287,N3BBAA,MSP,MIA,,1501,0
AA,1300,N3FRAA,SNA,DFW,,1205,0
AA,2326,N3KEAA,MIA,DCA,,919,0
B6,318,,JFK,BOS,,187,0
B6,1137,,BOS,DTW,112,632,0
DL,716,,OMA,ATL,,821,0
DL,765,,PIT,MSP,114,726,0
DL,801,,SNA,ATL,207,1919,0
DL,827,,FLL,ATL,81,581,0
DL,860,N324NB,SNA,MSP,188,1522,0
DL,886,N918DL,ATL,LGA,97,762,0
DL,1135,N309DE,BHM,ATL,30,134,0
DL,1324,N908DE,BNA,ATL,36,214,0
AA,1449,N3KDAA,FLL,DFW,,1119,1
DL,246,N391DA,SAN,JFK,264,2446,0
AA,2395,N469AA,BHM,DFW,103,597,0
EV,4438,N26141,HOB,IAH,,501,1
EV,6042,N21144,LNK,DEN,69,423,0
F9,110,N206FR,DEN,MSP,88,680,0
F9,782,N219FR,LAS,DEN,90,628,0
F9,268,N921FR,SNA,DEN,114,846,0
MQ,2965,N637MQ,SGF,,,364,1
MQ,3009,N651MQ,CMI,,117,693,0
MQ,3431,N820MQ,COU,,,489,1
NK,301,N626NK,BWI,,125,925,0
NK,725,N525NK,MCI,,108,643,0
OO,6262,N953SW,GTF,,87,624,0
OO,4811,N443SW,BNA,,45,230,0
OO,6502,N785SK,SNA,,63,372,0
OO,6523,N754SK,PHX,,61,370,0
OO,4974,N792SK,ATL,,121,689,0
OO,7385,N301YV,EKO,,55,200,0
B6,1208,N273JB,IAD,JFK,49,228,0
HA,338,N481HA,HNL,KOA,27,163,0
OO,6291,N706SK,FAT,SFO,28,158,0
DL,1212,N582NW,LAX,MSP,193,1535,0
UA,284,N832UA,PHX,SFO,89,651,0
US,1866,N626AW,PIT,CLT,68,366,0
US,2071,N553UW,MSP,CLT,111,930,0
WN,985,N8315C,BWI,MCO,115,787,0
WN,739,N927WN,MSY,ATL,60,425,0
WN,2964,N481WN,PHX,DAL,111,879,0
UA,1291,N33209,FLL,ORD,175,1182,0
US,408,N521UW,PHL,PHX,327,2075,0
AA,338,N3DJAA,LAX,SFO,55,337,0
AA,1371,N477AA,MEM,DFW,78,432,0
AA,1318,N5CDAA,BOS,DFW,256,1562,0
AA,1595,N553AA,AUS,DFW,33,190,0
AA,2226,N426AA,DFW,TPA,114,929,0
AA,2429,N4XPAA,CLE,DFW,159,1021,0
AA,2424,N3DLAA,LAX,DFW,146,1235,0
AS,321,N613AS,SJC,SEA,100,697,0
AS,582,N611AS,PDX,SNA,117,859,0
AS,629,N626AS,LAS,PDX,114,763,0
AS,805,N588AS,SEA,SMF,80,605,0
B6,148,N659JB,LGB,OAK,59,353,0
DL,476,N196DN,LAX,JFK,274,2475,0
DL,1085,N994AT,AVL,ATL,30,164,0
DL,2512,N937AT,HSV,ATL,30,151,0
EV,6175,N13124,BNA,ORD,73,409,0
MQ,3082,N918MQ,SAF,DFW,,551,1
MQ,2973,N628MQ,GRR,DFW,,931,1
MQ,3294,N509MQ,XNA,ORD,70,522,0
MQ,3268,N694MQ,SUX,ORD,61,436,0
MQ,3419,N939MQ,LFT,DFW,,351,1
NK,729,N629NK,ORD,TPA,127,1012,0
OO,5536,,PSP,IAH,147,1269,0
OO,5428,,HYS,DEN,53,298,0
UA,464,,BOS,EWR,45,200,0
HA,332,,HNL,ITO,33,216,0
AA,1101,,JFK,MIA,153,1089,0
NK,111,,DTW,LAS,262,1749,0
UA,1077,,EWR,MIA,152,1085,0
UA,1510,N37255,SAN,IAH,151,1303,0
UA,204,N810UA,DFW,IAH,43,224,0
US,773,N701UW,RIC,CLT,54,257,0
US,1960,N644AW,TPA,CLT,74,507,0
UA,670,N457UA,TPA,EWR,133,997,0
WN,707,N706SW,CAK,ATL,77,528,0
WN,537,N799SW,MCO,ATL,63,404,0
WN,897,N427WN,ABQ,DAL,81,580,0
WN,753,N443WN,PVD,FLL,169,1188,0
WN,969,N268WN,PHL,FLL,137,992,0
WN,4120,N247WN,PHL,LAS,321,2176,0
AA,299,N857AA,MIA,DEN,242,1709,0
AA,367,N494AA,TUL,DFW,,237,1
AA,222,N3JSAA,LAX,BOS,271,2611,0
AA,1104,N3LAAA,DFW,LGA,157,1389,0
AA,1373,N549AA,BWI,DFW,202,1217,0
AA,2401,N858AA,DFW,LAX,,1235,1
B6,16,N934JB,SFO,JFK,299,2586,0
DL,1071,N932DN,MKE,MSP,52,297,0
DL,2090,N698DL,PDX,MSP,174,1426,0
B6,2324,N206JB,,DCA,103,759,0
B6,2702,N571JB,,BUF,62,301,0
DL,1651,N954DN,,LAS,160,1299,0
DL,1818,N555NW,,MCO,59,404,0
EV,3924,N14960,,IAH,50,316,0
F9,907,N926FR,,RDU,59,373,0
MQ,3063,N511MQ,,ORD,,1236,1
MQ,3110,N688MQ,,ORD,87,510,0
MQ,3188,N507MQ,,ORD,119,1118,0
UA,821,N490UA,,SFO,328,2400,0
UA,312,N833UA,EWR,LAX,340,2454,0
US,823,N128UW,DCA,CLT,63,331,0
UA,1052,N69838,MCO,EWR,127,937,0
AA,1553,N3JNAA,DCA,MIA,129,919,0
B6,15,N944JB,JFK,SFO,350,2586,0
B6,453,N652JB,JFK,PBI,143,1028,0
DL,1547,N997DL,LGA,ATL,115,762,0
OO,6618,N506CA,PSP,PHX,41,261,0
OO,5366,N930EV,DVL,JMS,,83,1
UA,356,N432UA,ALB,ORD,,723,0
UA,392,N456UA,PDX,SFO,,550,0
UA,417,N429UA,EWR,TPA,,997,0
US,852,N715UW,JAX,CLT,,328,0
US,1722,N825AW,CLE,CLT,,430,0
US,1877,N826AW,CLT,MIA,,650,0
US,1961,N566UW,IAH,CLT,,912,0
US,1978,N827AW,IND,CLT,63,427,0
US,2064,N538UW,DFW,CLT,112,936,0
UA,463,N482UA,LGA,ORD,136,733,0
UA,514,N411UA,BOS,IAH,236,1597,0
UA,521,N854UA,BOS,ORD,154,867,0
UA,736,N522UA,SFO,EWR,286,2565,0
UA,795,N843UA,SNA,DEN,111,846,0
UA,1027,N38424,SFO,IAH,199,1635,0
VX,399,N852VA,JFK,LAX,360,2475,0
VX,897,N845VA,LAS,SFO,61,414,0
WN,473,N423WN,BUF,FLL,158,1165,0
WN,309,N657SW,BWI,HOU,198,1246,0
WN,369,N8312C,BWI,LAS,301,2106,0
WN,4635,N8305E,CLE,PHX,271,1737,0
WN,1019,N792SW,DCA,DAL,208,1184,0
WN,194,N939WN,ISP,FLL,159,1092,0
WN,2511,N7735A,MDW,DAL,129,793,0
WN,767,N497WN,MDW,TPA,132,997,0
WN,390,N283WN,MSP,MDW,58,349,0
WN,443,N628SW,PIT,MCO,114,834,0
WN,921,N962WN,SAT,BNA,94,822,0
WN,2373,N237WN,HOU,MCO,103,849,0
UA,1195,N57864,MCO,SFO,317,2446,0
UA,1697,N14107,EWR,DEN,250,1605,0
US,424,N161UW,ORD,PHX,212,1440,0
US,461,N540UW,ATL,CLT,38,226,0
US,568,N565UW,SLC,PHX,68,507,0
US,590,N758US,BOI,PHX,97,735,0
US,621,N185UW,DCA,PHX,306,1979,0
AA,9,N792AA,JFK,LAX,368,2475,0
AA,17,N019AA,ATL,MIA,82,594,0
AA,118,N788AA,LAX,JFK,268,2475,0
AA,68,N5EGAA,SFO,MIA,295,2585,0
AA,201,N3LJAA,BOS,LAX,390,2611,0
AA,204,N5DXAA,MIA,LAS,308,2174,0
AA,309,N4YDAA,DFW,BNA,74,631,0
AA,315,N3MAAA,LGA,ORD,136,733,0
AA,1242,N489AA,FAT,DFW,170,1313,0
AA,1247,N3CHAA,BOS,ORD,149,867,0
AA,1258,N491AA,LAS,DFW,136,1055,0
AA,1273,N023AA,MIA,IAH,155,964,0
AA,1354,N504AA,DFW,MCO,123,985,0
AA,1529,N5DHAA,MCO,LAX,306,2218,0
AA,1582,N5EYAA,MIA,BOS,167,1258,0
AA,1699,N425AA,TPA,DFW,150,929,0
AA,1507,N3KXAA,SEA,DFW,213,1660,0
AA,1513,N008AA,DFW,ATL,89,731,0
AA,1648,N571AA,TUS,DFW,,813,1
AA,2291,N859AA,DFW,MIA,,1121,1
AA,2451,N3HTAA,LGA,MIA,151,1096,0
AS,17,N419AS,EWR,SEA,356,2402,0
AS,39,N459AS,MSP,SEA,197,1399,0
AS,112,N527AS,ANC,SEA,179,1448,0
AS,311,N705AS,PSP,SFO,67,421,0
AS,313,N703AS,SFO,SEA,97,679,0
AS,405,N565AS,SJC,PDX,88,569,0
AS,415,N413AS,PDX,SEA,28,129,0
AS,445,N579AS,LAX,SEA,139,954,0
AS,466,N309AS,SEA,LAX,124,954,0
AS,519,N614AS,SNA,SEA,147,978,0
AS,531,N529AS,BUR,SEA,132,937,0
AS,615,N320AS,LAS,SEA,126,867,0
AS,663,N536AS,PHX,,142,1009,0
AS,722,N403AS,SLC,,82,590,0
AS,833,N566AS,PDX,,336,2603,0
AS,847,N558AS,SAN,,362,2541,0
AS,883,N531AS,OAK,,320,2457,0
B6,288,N806JB,LAX,,272,2611,0
B6,289,N373JB,BOS,,68,399,0
B6,619,N638JB,BOS,SAN,373,2588,0
B6,723,N804JB,DCA,MCO,111,759,0
B6,1109,N651JB,BOS,JAX,156,1010,0
B6,1121,N561JB,PDX,LGB,110,846,0
B6,1031,N339JB,BOS,HOU,255,1609,0
B6,1039,N296JB,BOS,AUS,269,1698,0
B6,2007,N594JB,PIT,FLL,131,994,0
DL,364,N547US,SEA,LAX,118,954,0
DL,400,N381DN,PDX,JFK,268,2454,0
DL,424,N194DN,JFK,LAX,356,2475,0
DL,822,N3743H,SEA,DTW,213,1927,0
DL,854,N667DN,SFO,DTW,247,2079,0
DL,872,N938DN,DCA,ATL,83,547,0
DL,1183,,ORF,ATL,88,516,0
DL,1280,,DAB,ATL,61,366,0
DL,1305,,PBI,ATL,77,545,0
DL,1440,,SLC,MSP,134,991,0
DL,1453,,SEA,MSP,162,1399,0
AA,1461,,DAY,DFW,135,861,0
DL,1971,,MSP,PHX,180,1276,0
DL,2017,N326US,LGA,PBI,147,1035,0
DL,2123,N913DE,RSW,LGA,138,1080,0
DL,2151,N329NW,MIA,LGA,145,1096,0
DL,2180,N938DL,CLE,ATL,80,554,0
DL,2351,N911DE,PBI,LGA,,1035,0
DL,2365,N399DA,JFK,SJU,,1598,0
DL,2539,N353NW,MKE,ATL,,669,0
B6,2784,N283JB,RDU,BOS,,612,0
DL,46,N704X,JFK,SFO,,2586,0
DL,1498,N958AT,FLL,LGA,,1076,0
DL,1506,N812DN,LAX,DTW,232,1979,0
DL,1795,N3757D,LAS,JFK,237,2248,0
DL,1894,N6704Z,MSP,MIA,175,1501,0
DL,1925,N534US,MSP,RSW,169,1416,0
AA,2393,N3APAA,JFK,MCO,141,944,0
EV,4513,N14950,,ORD,62,315,0
EV,4524,N14974,,IAH,52,201,0
EV,4871,N878AS,,ATL,83,551,0
EV,4987,N710EV,,LGA,40,254,0
EV,5423,N724EV,,MSP,42,220,0
EV,5755,N834AS,,ORD,157,849,0
F9,1061,N201FR,,PHX,232,1440,0
F9,1120,N208FR,,RSW,136,1025,0
F9,676,N908FR,,MCO,180,1546,0
F9,681,N928FR,MCO,DEN,227,1546,0
MQ,2841,N667MQ,DFW,DSM,80,624,0
MQ,2852,N625MQ,GRK,DFW,,134,1
MQ,2871,N645MQ,PNS,DFW,,604,1
MQ,3024,N611MQ,GJT,DFW,,773,1
MQ,3051,N802MQ,HPN,ORD,135,738,0
MQ,2991,N686MQ,BMI,DFW,,690,1
MQ,3362,N507MQ,DFW,MAF,,309,1
NK,231,N620NK,ATL,FLL,80,581,0
NK,259,N532NK,ACY,FLL,132,977,0
NK,183,N521NK,LBE,RSW,135,956,0
NK,193,N502NK,IAH,LAS,167,1222,0
NK,198,N621NK,FLL,MCO,32,177,0
NK,610,N608NK,FLL,BOS,169,1237,0
OO,6194,N758SK,ASE,DEN,27,125,0
OO,6272,N915SW,BUR,SFO,61,326,0
OO,3479,N218AG,SAN,SLC,93,626,0
HA,217,N485HA,KOA,HNL,31,163,0
OO,4623,N812SK,SEA,PDX,29,129,0
OO,5471,N576SW,RKS,DEN,,260,1
OO,5632,N566SW,SBA,SFO,74,262,0
OO,6225,N124SY,BOI,ORD,182,1437,0
OO,7382,N659BR,CPR,SLC,48,320,0
OO,5633,N479CA,COS,DEN,20,73,0
UA,296,N470UA,ORD,DEN,131,888,0
UA,656,N402UA,PHX,ORD,154,1440,0
UA,1441,N38417,MSY,IAH,59,305,0
UA,1764,N14228,CLE,RSW,136,1025,0
AA,130,N012AA,MIA,TPA,,204,1
EV,4221,N14570,BTR,IAH,63,253,0
EV,6159,N48901,BTV,ORD,138,763,0
NK,410,N630NK,FLL,BWI,130,925,0
OO,6382,N824AS,SFO,BOI,84,522,0
UA,761,N549UA,ORD,SFO,238,1846,0
VX,12,N842VA,SFO,JFK,299,2586,0
WN,2851,N217JC,BDL,FLL,164,1173,0
WN,1108,N625SW,BWI,FLL,132,925,0
WN,1432,N346SW,CMH,TPA,114,829,0
WN,1863,N253WN,DAL,BWI,131,1209,0
WN,665,N684WN,DAL,STL,,546,1
WN,323,N340LV,FLL,BWI,129,925,0
WN,2041,N8317M,MCO,LAS,285,2039,0
,,N8302F,MDW,MCO,123,990,0
,,N737JW,OAK,HOU,212,1642,0
,,N291WN,SAT,ELP,81,496,0
WN,,N905WN,TPA,BWI,111,842,0
WN,,N554WN,TUS,DEN,83,639,0
